,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
657,658,5816811,K01042.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.2277187919999997,2.546e-06,-2.546e-06,134.45263799999998,0.000998,-0.000998,1.04,0.501,-0.032,4.9699,0.0472,-0.0472,1039.0,10.0,-10.0,8.88,2.8,-0.93,1400.0,,,906.46,859.25,-271.75,124.3,1.0,q1_q17_dr25_tce,6038.0,181.0,-199.0,4.508,0.054000000000000006,-0.21600000000000003,0.922,0.291,-0.097,298.33893,41.073479,14.85
6009,6010,5565261,K05180.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.362348096,2.614e-06,-2.614e-06,131.705479,0.000896,-0.000896,1.219,1.461,-0.135,3.5979,0.0459,-0.0459,724.7,8.4,-8.4,89.55,32.25,-39.43,2104.0,,,4625.06,4905.48,-3328.28,103.6,1.0,q1_q17_dr25_tce,5088.0,139.0,-139.0,3.502,0.462,-0.249,3.293,1.186,-1.45,299.33297999999996,40.714352000000005,13.99
1246,1247,10028140,K01591.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,19.65639342,6.986e-05,-6.986e-05,140.29936999999998,0.00266,-0.00266,0.955,0.004,-0.664,3.226,0.215,-0.215,843.2,37.3,-37.3,2.83,0.43,-0.22,549.0,,,21.5,10.59,-5.23,25.5,1.0,q1_q17_dr25_tce,5288.0,159.0,-143.0,4.613,0.036000000000000004,-0.09,0.74,0.112,-0.06,297.73984,46.94191,15.372
954,955,6387450,K01228.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.6613264819999998,7.15e-07,-7.15e-07,135.26995,0.000165,-0.000165,0.812,0.004,-0.005,2.5714,0.013,-0.013,17846.0,61.1,-61.1,12.07,1.66,-1.5,1023.0,,,258.6,122.5,-82.86,424.6,1.0,q1_q17_dr25_tce,5319.0,175.0,-159.0,4.501,0.1,-0.1,0.798,0.11,-0.099,298.09171000000003,41.794128,14.349
3228,3229,7119481,K00566.01,Kepler-604 b,CONFIRMED,CANDIDATE,0.993,0,0,0,0,25.85499978,8.545e-05,-8.545e-05,192.57484,0.00278,-0.00278,0.265,0.168,-0.265,3.8737,0.0857,-0.0857,610.5,20.8,-20.8,2.4,0.75,-0.25,637.0,,,38.81,36.45,-11.58,31.7,1.0,q1_q17_dr25_tce,6122.0,182.0,-200.0,4.487,0.054000000000000006,-0.21600000000000003,0.964,0.302,-0.101,292.31601,42.626251,14.718
9351,9352,7732285,K03023.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,0,1,0,4.39049637,1.655e-05,-1.655e-05,134.12735,0.00381,-0.00381,0.389,0.063,-0.389,3.0112,0.081,-0.081,113.5,4.3,-4.3,2.07,0.61,-0.81,1637.0,,,1701.16,1476.88,-1154.7,31.1,1.0,q1_q17_dr25_tce,6429.0,181.0,-227.0,3.989,0.319,-0.147,1.908,0.559,-0.746,282.25177,43.493759000000004,13.33
5534,5535,10031707,K01827.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,8.58966893,5.492e-05,-5.492e-05,132.01936,0.00514,-0.00514,0.012,0.266,-0.012,6.962,0.149,-0.149,429.6,10.3,-10.3,155.18,5.2,-27.76,4900.0,,,136317.25,23445.9,-53793.94,47.5,1.0,q1_q17_dr25_tce,3837.0,90.0,-102.0,0.8290000000000001,0.03,-0.03,80.307,2.693,-14.364,298.77295,46.921246000000004,13.866
7889,7890,11918482,K07493.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,0.94754848,3.841e-05,-3.841e-05,132.266431,0.000655,-0.000655,11.1936,4.498,-6.535,1.7347,0.0597,-0.0597,11348.0,309.0,-309.0,224.79,0.0,0.0,622.0,,,35.37,0.0,0.0,44.7,1.0,q1_q17_dr24_tce,3246.0,0.0,0.0,5.087,0.0,0.0,0.2,0.0,0.0,294.01917000000003,50.216606,13.497
1482,1483,11570749,K01856.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,46.2991052,0.0001173,-0.0001173,155.80223,0.00198,-0.00198,0.025,0.37,-0.025,5.2481,0.061,-0.061,854.9,17.9,-17.9,4.33,1.59,-1.94,592.0,,,29.04,31.95,-21.12,55.0,1.0,q1_q17_dr25_tce,5396.0,160.0,-144.0,4.035,0.504,-0.21600000000000003,1.507,0.553,-0.676,297.07861,49.502078999999995,14.082
4011,4012,6359926,K04391.01,,CANDIDATE,CANDIDATE,0.99,0,0,0,0,49.4746966,0.0009815,-0.0009815,166.142,0.0171,-0.0171,0.491,0.476,-0.278,10.46,0.525,-0.525,291.0,19.2,-19.2,1.62,0.46,-0.2,498.0,,,14.5,12.16,-4.63,17.2,1.0,q1_q17_dr25_tce,5952.0,161.0,-179.0,4.475,0.067,-0.18899999999999997,0.928,0.265,-0.114,290.39505,41.78157,14.955
6361,6362,8547537,K05539.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,374.05697,0.02385,-0.02385,177.0559,0.0259,-0.0259,0.1026,0.37,-0.1025,22.53,1.7,-1.7,961.1,80.0,-80.0,2.34,0.57,-0.17,209.0,,,0.45,0.34,-0.1,20.6,1.0,q1_q16_tce,5302.0,178.0,-144.0,4.595,0.027000000000000003,-0.151,0.771,0.185,-0.058,286.29143999999997,44.658772,15.583
